"","ISO3","pubyear","continent","subregion","per_country","per_country_cat","art_country","count_country_cat","mig_rel_index","emig_immig","emig_immig_c","emig_immig_rel_c","repr","repr_rel","repr_s","repr_rel_s"
"1","ABW",2000,"Americas","Latin America and the Caribbean",0.00922181090018048,2,14,2,45.7458770194918,43.5285714285714,2,9,0,-7,"Fair","Under"
"2","AFG",1997,"Asia","Southern Asia",0.451868734108844,9,686,9,25.2812363443229,5470.91428571429,10,7,-1,2,"Under","Over"
"3","AGO",1996,"Africa","Sub-Saharan Africa",0.065870077858432,5,100,5,5.01391865344694,984,6,2,-1,3,"Under","Over"
"4","AIA",2016,"Americas","Latin America and the Caribbean",0.00131740155716864,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"5","ALA",2002,"Europe","Northern Europe",0.00131740155716864,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"6","ALB",1996,"Europe","Southern Europe",0.262821610655144,7,399,7,30.6187912816101,916.471428571429,6,7,1,0,"Over","Fair"
"7","AND",2011,"Europe","Southern Europe",0.0032935038929216,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA
"8","ARE",1997,"Asia","Western Asia",0.113296533916503,6,172,6,82.4404777451549,4834.01428571429,10,10,-4,-4,"Under","Under"
"9","ARG",1996,"Americas","Latin America and the Caribbean",0.519056213524444,9,788,9,6.50672885407452,2552.12857142857,9,2,0,7,"Fair","Over"
"10","ARM",1996,"Asia","Western Asia",0.196951532796712,7,299,7,43.7476936227775,1353.07142857143,7,8,0,-1,"Fair","Under"
"11","ASM",2021,"Oceania","Melanesia, Micronesia, Polynesia",0.00197610233575296,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"12","AUS",1996,"Oceania","Australia and New Zealand",2.80079571054053,10,4252,10,27.5740265809491,5818.3,10,7,0,3,"Fair","Over"
"13","AUT",1996,"Europe","Western Europe",0.514445308074354,9,781,9,20.347603974283,1701.12857142857,8,6,1,3,"Over","Over"
"14","AZE",1996,"Asia","Western Asia",0.102757321459154,6,156,6,20.4255587889171,1716.4,8,6,-2,0,"Under","Fair"
"15","BDI",1996,"Africa","Sub-Saharan Africa",0.0632352747440947,5,96,5,10.2393116395466,764.042857142857,6,4,-1,1,"Under","Over"
