"pubyear","ISO3","team_continent","n","country_nm","continent","continent_fct","country_nm_fct"
1996,"MAR","Europe",4,"Morocco","Africa","Africa","Morocco"
1997,"MAR","Europe",3,"Morocco","Africa","Africa","Morocco"
1998,"MAR","Europe",9,"Morocco","Africa","Africa","Morocco"
1999,"MAR","Asia",1,"Morocco","Africa","Africa","Morocco"
1999,"MAR","Europe",4,"Morocco","Africa","Africa","Morocco"
2000,"MAR","Europe",8,"Morocco","Africa","Africa","Morocco"
2000,"MAR","Northern America",1,"Morocco","Africa","Africa","Morocco"
2001,"MAR","Asia",2,"Morocco","Africa","Africa","Morocco"
2001,"MAR","Europe",12,"Morocco","Africa","Africa","Morocco"
2001,"MAR","Northern America",1,"Morocco","Africa","Africa","Morocco"
2002,"MAR","Collaboration",1,"Morocco","Africa","Africa","Morocco"
2002,"MAR","Europe",16,"Morocco","Africa","Africa","Morocco"
2002,"MAR","Northern America",2,"Morocco","Africa","Africa","Morocco"
2003,"MAR","Europe",10,"Morocco","Africa","Africa","Morocco"
2004,"MAR","Europe",11,"Morocco","Africa","Africa","Morocco"
2005,"MAR","Europe",13,"Morocco","Africa","Africa","Morocco"
2005,"MAR","Northern America",1,"Morocco","Africa","Africa","Morocco"
2006,"MAR","Collaboration",1,"Morocco","Africa","Africa","Morocco"
2006,"MAR","Europe",24,"Morocco","Africa","Africa","Morocco"
2006,"MAR","Northern America",3,"Morocco","Africa","Africa","Morocco"
2007,"MAR","Collaboration",1,"Morocco","Africa","Africa","Morocco"
2007,"MAR","Europe",15,"Morocco","Africa","Africa","Morocco"
2007,"MAR","Northern America",2,"Morocco","Africa","Africa","Morocco"
2008,"MAR","Collaboration",3,"Morocco","Africa","Africa","Morocco"
2008,"MAR","Europe",22,"Morocco","Africa","Africa","Morocco"
2008,"MAR","Northern America",1,"Morocco","Africa","Africa","Morocco"
2009,"MAR","Africa",4,"Morocco","Africa","Africa","Morocco"
2009,"MAR","Collaboration",3,"Morocco","Africa","Africa","Morocco"
2009,"MAR","Europe",25,"Morocco","Africa","Africa","Morocco"
2010,"MAR","Asia",1,"Morocco","Africa","Africa","Morocco"
2010,"MAR","Collaboration",3,"Morocco","Africa","Africa","Morocco"
2010,"MAR","Europe",25,"Morocco","Africa","Africa","Morocco"
2010,"MAR","Northern America",4,"Morocco","Africa","Africa","Morocco"
2011,"MAR","Africa",2,"Morocco","Africa","Africa","Morocco"
2011,"MAR","Asia",1,"Morocco","Africa","Africa","Morocco"
2011,"MAR","Collaboration",4,"Morocco","Africa","Africa","Morocco"
2011,"MAR","Europe",37,"Morocco","Africa","Africa","Morocco"
2011,"MAR","Northern America",7,"Morocco","Africa","Africa","Morocco"
2012,"MAR","Africa",4,"Morocco","Africa","Africa","Morocco"
2012,"MAR","Collaboration",10,"Morocco","Africa","Africa","Morocco"
2012,"MAR","Europe",45,"Morocco","Africa","Africa","Morocco"
2012,"MAR","Northern America",2,"Morocco","Africa","Africa","Morocco"
2013,"MAR","Collaboration",7,"Morocco","Africa","Africa","Morocco"
2013,"MAR","Europe",46,"Morocco","Africa","Africa","Morocco"
2013,"MAR","Northern America",6,"Morocco","Africa","Africa","Morocco"
2013,"MAR","Oceania",1,"Morocco","Africa","Africa","Morocco"
2014,"MAR","Africa",1,"Morocco","Africa","Africa","Morocco"
2014,"MAR","Collaboration",12,"Morocco","Africa","Africa","Morocco"
2014,"MAR","Europe",46,"Morocco","Africa","Africa","Morocco"
2014,"MAR","Northern America",3,"Morocco","Africa","Africa","Morocco"
2015,"MAR","Africa",5,"Morocco","Africa","Africa","Morocco"
2015,"MAR","Asia",2,"Morocco","Africa","Africa","Morocco"
2015,"MAR","Collaboration",7,"Morocco","Africa","Africa","Morocco"
2015,"MAR","Europe",57,"Morocco","Africa","Africa","Morocco"
2015,"MAR","Lat.America & Car.",1,"Morocco","Africa","Africa","Morocco"
2015,"MAR","Northern America",6,"Morocco","Africa","Africa","Morocco"
2016,"MAR","Africa",2,"Morocco","Africa","Africa","Morocco"
2016,"MAR","Asia",1,"Morocco","Africa","Africa","Morocco"
2016,"MAR","Collaboration",6,"Morocco","Africa","Africa","Morocco"
2016,"MAR","Europe",56,"Morocco","Africa","Africa","Morocco"
2016,"MAR","Northern America",5,"Morocco","Africa","Africa","Morocco"
2017,"MAR","Africa",1,"Morocco","Africa","Africa","Morocco"
2017,"MAR","Asia",1,"Morocco","Africa","Africa","Morocco"
2017,"MAR","Collaboration",8,"Morocco","Africa","Africa","Morocco"
2017,"MAR","Europe",53,"Morocco","Africa","Africa","Morocco"
2017,"MAR","Northern America",7,"Morocco","Africa","Africa","Morocco"
2018,"MAR","Collaboration",6,"Morocco","Africa","Africa","Morocco"
2018,"MAR","Europe",47,"Morocco","Africa","Africa","Morocco"
2018,"MAR","Northern America",8,"Morocco","Africa","Africa","Morocco"
2018,"MAR","Oceania",1,"Morocco","Africa","Africa","Morocco"
2019,"MAR","Asia",1,"Morocco","Africa","Africa","Morocco"
2019,"MAR","Collaboration",12,"Morocco","Africa","Africa","Morocco"
2019,"MAR","Europe",53,"Morocco","Africa","Africa","Morocco"
2019,"MAR","Northern America",13,"Morocco","Africa","Africa","Morocco"
2020,"MAR","Africa",5,"Morocco","Africa","Africa","Morocco"
2020,"MAR","Asia",1,"Morocco","Africa","Africa","Morocco"
2020,"MAR","Collaboration",12,"Morocco","Africa","Africa","Morocco"
2020,"MAR","Europe",46,"Morocco","Africa","Africa","Morocco"
2020,"MAR","Northern America",9,"Morocco","Africa","Africa","Morocco"
2021,"MAR","Africa",3,"Morocco","Africa","Africa","Morocco"
2021,"MAR","Collaboration",12,"Morocco","Africa","Africa","Morocco"
2021,"MAR","Europe",48,"Morocco","Africa","Africa","Morocco"
2021,"MAR","Northern America",7,"Morocco","Africa","Africa","Morocco"
2022,"MAR","Africa",1,"Morocco","Africa","Africa","Morocco"
2022,"MAR","Asia",2,"Morocco","Africa","Africa","Morocco"
2022,"MAR","Collaboration",6,"Morocco","Africa","Africa","Morocco"
2022,"MAR","Europe",51,"Morocco","Africa","Africa","Morocco"
2022,"MAR","Northern America",5,"Morocco","Africa","Africa","Morocco"
1996,"USA","Asia",1,"United States of America","Americas","Americas","United States of America"
1996,"USA","Collaboration",7,"United States of America","Americas","Americas","United States of America"
1996,"USA","Europe",10,"United States of America","Americas","Americas","United States of America"
1996,"USA","Lat.America & Car.",3,"United States of America","Americas","Americas","United States of America"
1996,"USA","Northern America",111,"United States of America","Americas","Americas","United States of America"
1997,"USA","Asia",2,"United States of America","Americas","Americas","United States of America"
1997,"USA","Collaboration",2,"United States of America","Americas","Americas","United States of America"
1997,"USA","Europe",6,"United States of America","Americas","Americas","United States of America"
1997,"USA","Lat.America & Car.",4,"United States of America","Americas","Americas","United States of America"
1997,"USA","Northern America",153,"United States of America","Americas","Americas","United States of America"
1997,"USA","Oceania",2,"United States of America","Americas","Americas","United States of America"
1998,"USA","Asia",2,"United States of America","Americas","Americas","United States of America"
1998,"USA","Collaboration",1,"United States of America","Americas","Americas","United States of America"
1998,"USA","Europe",22,"United States of America","Americas","Americas","United States of America"
1998,"USA","Lat.America & Car.",4,"United States of America","Americas","Americas","United States of America"
1998,"USA","Northern America",164,"United States of America","Americas","Americas","United States of America"
1998,"USA","Oceania",2,"United States of America","Americas","Americas","United States of America"
1999,"USA","Africa",1,"United States of America","Americas","Americas","United States of America"
1999,"USA","Asia",2,"United States of America","Americas","Americas","United States of America"
1999,"USA","Collaboration",4,"United States of America","Americas","Americas","United States of America"
1999,"USA","Europe",18,"United States of America","Americas","Americas","United States of America"
1999,"USA","Lat.America & Car.",6,"United States of America","Americas","Americas","United States of America"
1999,"USA","Northern America",153,"United States of America","Americas","Americas","United States of America"
1999,"USA","Oceania",4,"United States of America","Americas","Americas","United States of America"
2000,"USA","Africa",1,"United States of America","Americas","Americas","United States of America"
2000,"USA","Asia",4,"United States of America","Americas","Americas","United States of America"
2000,"USA","Collaboration",8,"United States of America","Americas","Americas","United States of America"
2000,"USA","Europe",18,"United States of America","Americas","Americas","United States of America"
2000,"USA","Lat.America & Car.",6,"United States of America","Americas","Americas","United States of America"
2000,"USA","Northern America",197,"United States of America","Americas","Americas","United States of America"
2000,"USA","Oceania",4,"United States of America","Americas","Americas","United States of America"
2001,"USA","Asia",4,"United States of America","Americas","Americas","United States of America"
2001,"USA","Collaboration",10,"United States of America","Americas","Americas","United States of America"
2001,"USA","Europe",23,"United States of America","Americas","Americas","United States of America"
2001,"USA","Lat.America & Car.",4,"United States of America","Americas","Americas","United States of America"
2001,"USA","Northern America",221,"United States of America","Americas","Americas","United States of America"
2001,"USA","Oceania",4,"United States of America","Americas","Americas","United States of America"
2002,"USA","Asia",5,"United States of America","Americas","Americas","United States of America"
2002,"USA","Collaboration",10,"United States of America","Americas","Americas","United States of America"
2002,"USA","Europe",36,"United States of America","Americas","Americas","United States of America"
2002,"USA","Lat.America & Car.",3,"United States of America","Americas","Americas","United States of America"
2002,"USA","Northern America",258,"United States of America","Americas","Americas","United States of America"
2002,"USA","Oceania",4,"United States of America","Americas","Americas","United States of America"
2003,"USA","Africa",2,"United States of America","Americas","Americas","United States of America"
2003,"USA","Asia",12,"United States of America","Americas","Americas","United States of America"
2003,"USA","Collaboration",15,"United States of America","Americas","Americas","United States of America"
2003,"USA","Europe",44,"United States of America","Americas","Americas","United States of America"
2003,"USA","Lat.America & Car.",9,"United States of America","Americas","Americas","United States of America"
2003,"USA","Northern America",284,"United States of America","Americas","Americas","United States of America"
2003,"USA","Oceania",5,"United States of America","Americas","Americas","United States of America"
2004,"USA","Africa",1,"United States of America","Americas","Americas","United States of America"
2004,"USA","Asia",8,"United States of America","Americas","Americas","United States of America"
