"subregion_gr","team_subregion","n","total","percent"
"C. & E. Asia","C. & E. Asia",3611,11261,32.0664239410354
"C. & E. Asia","Northern America",2607,11261,23.1506970961726
"C. & E. Asia","Collaboration",2161,11261,19.1901252109049
"Eastern Europe","Eastern Europe",4089,8547,47.8413478413478
"Eastern Europe","Collaboration",1035,8547,12.1095121095121
"Eastern Europe","Northern Europe",1022,8547,11.957411957412
"Lat.America & Car.","Northern America",5010,11711,42.7802920331312
"Lat.America & Car.","Lat.America & Car.",3046,11711,26.0097344377081
"Lat.America & Car.","Collaboration",1786,11711,15.2506190760823
"Northern Africa","Western Europe",707,2246,31.4781834372217
"Northern Africa","Collaboration",390,2246,17.3642030276046
"Northern Africa","Northern America",355,2246,15.8058771148709
"Northern America","Northern America",21776,30575,71.221586263287
"Northern America","Collaboration",2935,30575,9.59934587080948
"Northern America","Northern Europe",1406,30575,4.59852820932134
"Northern Europe","Northern Europe",9351,14934,62.6155082362395
"Northern Europe","Collaboration",1968,14934,13.1779831257533
"Northern Europe","Northern America",1260,14934,8.43712334270792
"Oceania","Oceania",3649,5580,65.3942652329749
"Oceania","Collaboration",865,5580,15.5017921146953
"Oceania","Northern America",398,5580,7.1326164874552
"S. & SE. Asia","Northern America",3918,15006,26.109556177529
"S. & SE. Asia","S. & SE. Asia",3179,15006,21.1848593895775
"S. & SE. Asia","Collaboration",2689,15006,17.9194988671198
"Southern Europe","Southern Europe",4848,11130,43.5579514824798
"Southern Europe","Collaboration",1697,11130,15.2470799640611
"Southern Europe","Northern America",1393,11130,12.5157232704403
"Sub-Saharan Africa","Sub-Saharan Africa",2062,8359,24.6680224907286
"Sub-Saharan Africa","Northern America",1606,8359,19.2128245005383
"Sub-Saharan Africa","Collaboration",1575,8359,18.8419667424333
"Western Asia","Western Asia",2593,9673,26.8065750025845
"Western Asia","Collaboration",1770,9673,18.2983562493539
"Western Asia","Northern America",1511,9673,15.6208001654089
"Western Europe","Western Europe",6200,12464,49.7432605905006
"Western Europe","Collaboration",1857,12464,14.8989088575096
"Western Europe","Northern America",1375,12464,11.0317715019255
